Yokuwi;12000;100
Mas kobis;16000;130
Olive;8000;800
Rocket;9000;750
Kang agus;15000;130
Asep Putra;13000;100
Padang Duta Sederhana;10000;450
Warteg Lina;13000;200
Warteg putra kencana;13000;250
Seafood 99;12000;450
Tali roso;16000;550
Penyetan Lamongan;12000;550
"Chinese food ""mas I'an""";17000;1000
Mbak Arin;16000;650
Magu Magu;9000;400
ABC;12000;600
Gajebo;15000;400
Penyetan Mantep Roso;17000;130
Kopdar;27000;1000
Gajah;13000;800
Ayamnesia;20000;550
D'royal geprek;20000;600
Lesehan Pak Isnen;15000;160
